timestamp,store_id,product_id,category,sales_quantity,sales_amount,price,customer_type
2026-01-15 08:30:00,S1,P101,Electronics,2,1599.98,799.99,Premium
2026-01-15 09:15:00,S1,P102,Clothing,5,149.95,29.99,Regular
2026-01-15 10:45:00,S2,P103,Home,3,299.97,99.99,Regular
2026-01-15 11:30:00,S1,P104,Electronics,1,449.99,449.99,Premium
2026-01-15 12:00:00,S3,P105,Clothing,8,199.92,24.99,Bulk
2026-01-15 13:20:00,S2,P101,Electronics,1,799.99,799.99,Regular
2026-01-15 14:15:00,S1,P106,Home,2,149.98,74.99,Regular
2026-01-15 15:45:00,S3,P102,Clothing,12,359.88,29.99,Bulk
2026-01-15 16:30:00,S2,P107,Electronics,1,299.99,299.99,Premium
2026-01-15 17:00:00,S1,P103,Home,4,399.96,99.99,Regular
2026-01-15 18:15:00,S2,P104,Electronics,2,899.98,449.99,Premium
2026-01-15 19:30:00,S3,P105,Clothing,6,149.94,24.99,Regular
2026-01-15 20:45:00,S1,P108,Home,1,129.99,129.99,Premium
2026-01-15 21:00:00,S2,P106,Home,3,224.97,74.99,Regular
2026-01-15 22:30:00,S3,P109,Electronics,1,599.99,599.99,Premium
2026-01-16 08:00:00,S1,P101,Electronics,1,799.99,799.99,Regular
2026-01-16 08:45:00,S2,P110,Clothing,10,249.90,24.99,Bulk
2026-01-16 09:30:00,S1,P102,Clothing,4,119.96,29.99,Regular
2026-01-16 10:15:00,S3,P103,Home,2,199.98,99.99,Regular
2026-01-16 11:00:00,S2,P104,Electronics,3,1349.97,449.99,Premium
2026-01-16 12:30:00,S1,P105,Clothing,7,174.93,24.99,Regular
2026-01-16 13:15:00,S3,P111,Home,1,199.99,199.99,Premium
2026-01-16 14:00:00,S2,P106,Home,2,149.98,74.99,Regular
2026-01-16 15:30:00,S1,P107,Electronics,1,299.99,299.99,Regular
2026-01-16 16:45:00,S3,P108,Home,2,259.98,129.99,Regular
2026-01-16 17:30:00,S2,P109,Electronics,2,1199.98,599.99,Premium
2026-01-16 18:45:00,S1,P110,Clothing,9,224.91,24.99,Bulk
2026-01-16 19:15:00,S3,P102,Clothing,3,89.97,29.99,Regular
2026-01-16 20:00:00,S2,P112,Home,1,149.99,149.99,Regular
2026-01-16 21:30:00,S1,P103,Home,5,499.95,99.99,Regular
2026-01-17 07:30:00,S3,P101,Electronics,2,1599.98,799.99,Premium
2026-01-17 08:45:00,S1,P104,Electronics,1,449.99,449.99,Regular
2026-01-17 09:30:00,S2,P105,Clothing,6,149.94,24.99,Regular
2026-01-17 10:45:00,S1,P106,Home,3,224.97,74.99,Regular
2026-01-17 11:15:00,S3,P107,Electronics,1,299.99,299.99,Regular
2026-01-17 12:45:00,S2,P108,Home,4,519.96,129.99,Regular
2026-01-17 13:30:00,S1,P109,Electronics,1,599.99,599.99,Premium
2026-01-17 14:15:00,S3,P110,Clothing,11,274.89,24.99,Bulk
2026-01-17 15:45:00,S2,P111,Home,2,399.98,199.99,Premium
2026-01-17 16:30:00,S1,P112,Home,1,149.99,149.99,Regular
2026-01-17 17:45:00,S3,P102,Clothing,4,119.96,29.99,Regular
2026-01-17 18:30:00,S2,P103,Home,3,299.97,99.99,Regular
2026-01-17 19:15:00,S1,P104,Electronics,2,899.98,449.99,Premium
2026-01-17 20:45:00,S3,P105,Clothing,8,199.92,24.99,Bulk
2026-01-17 21:30:00,S2,P113,Electronics,1,1299.99,1299.99,Premium
2026-01-18 08:00:00,S1,P101,Electronics,1,799.99,799.99,Regular
2026-01-18 09:00:00,S2,P106,Home,2,149.98,74.99,Regular
2026-01-18 10:30:00,S3,P107,Electronics,1,299.99,299.99,Regular
2026-01-18 11:45:00,S1,P108,Home,3,389.97,129.99,Regular
2026-01-18 12:30:00,S2,P109,Electronics,2,1199.98,599.99,Premium
2026-01-18 13:15:00,S3,P110,Clothing,10,249.90,24.99,Bulk
2026-01-18 14:45:00,S1,P111,Home,1,199.99,199.99,Premium
2026-01-18 15:30:00,S2,P112,Home,2,299.98,149.99,Regular
2026-01-18 16:15:00,S3,P102,Clothing,5,149.95,29.99,Regular
2026-01-18 17:45:00,S1,P103,Home,4,399.96,99.99,Regular
2026-01-18 18:30:00,S2,P104,Electronics,3,1349.97,449.99,Premium
2026-01-18 19:15:00,S3,P105,Clothing,7,174.93,24.99,Regular
2026-01-18 20:45:00,S1,P113,Electronics,1,1299.99,1299.99,Premium
2026-01-18 21:30:00,S2,P114,Home,1,89.99,89.99,Regular
2026-01-19 08:15:00,S3,P101,Electronics,2,1599.98,799.99,Premium
2026-01-19 09:30:00,S1,P106,Home,3,224.97,74.99,Regular
2026-01-19 10:45:00,S2,P107,Electronics,1,299.99,299.99,Regular
2026-01-19 11:30:00,S3,P108,Home,2,259.98,129.99,Regular
2026-01-19 12:45:00,S1,P109,Electronics,2,1199.98,599.99,Premium
2026-01-19 13:30:00,S2,P110,Clothing,9,224.91,24.99,Bulk
2026-01-19 14:15:00,S3,P111,Home,1,199.99,199.99,Premium
2026-01-19 15:45:00,S1,P112,Home,2,299.98,149.99,Regular
2026-01-19 16:30:00,S2,P102,Clothing,4,119.96,29.99,Regular
2026-01-19 17:15:00,S3,P103,Home,3,299.97,99.99,Regular
2026-01-19 18:45:00,S1,P104,Electronics,1,449.99,449.99,Regular
2026-01-19 19:30:00,S2,P105,Clothing,6,149.94,24.99,Regular
2026-01-19 20:15:00,S3,P114,Home,2,179.98,89.99,Regular
2026-01-20 08:00:00,S1,P101,Electronics,3,2399.97,799.99,Premium
2026-01-20 09:15:00,S2,P106,Home,4,299.96,74.99,Bulk
2026-01-20 10:30:00,S3,P107,Electronics,2,599.98,299.99,Regular
2026-01-20 11:45:00,S1,P108,Home,1,129.99,129.99,Regular
2026-01-20 12:30:00,S2,P109,Electronics,1,599.99,599.99,Premium
2026-01-20 13:15:00,S3,P110,Clothing,12,299.88,24.99,Bulk
2026-01-20 14:45:00,S1,P111,Home,2,399.98,199.99,Premium
2026-01-20 15:30:00,S2,P112,Home,3,449.97,149.99,Regular
2026-01-20 16:15:00,S3,P102,Clothing,3,89.97,29.99,Regular
2026-01-20 17:45:00,S1,P103,Home,2,199.98,99.99,Regular
2026-01-20 18:30:00,S2,P104,Electronics,2,899.98,449.99,Premium
2026-01-20 19:15:00,S3,P105,Clothing,5,124.95,24.99,Regular
2026-01-20 20:45:00,S1,P113,Electronics,1,1299.99,1299.99,Premium
2026-01-20 21:30:00,S2,P115,Home,1,179.99,179.99,Premium
